read,write,open,close,task_stime
0,46025,0,0,68200000000
0,47212,0,0,68200000000
0,48462,0,0,32972000000
0,46558,0,0,68200000000
0,48836,0,0,68200000000
0,44799,0,0,68200000000
0,48924,0,0,68200000000
0,46833,0,0,68200000000
0,48478,0,0,68200000000
0,46957,0,0,68200000000
0,47086,0,0,68200000000
0,46782,0,0,68200000000
0,48720,0,0,68200000000
0,47067,0,0,68200000000
0,48542,0,0,68200000000
0,47148,0,0,68200000000
0,48731,0,0,68200000000
0,47290,0,0,68200000000
0,48471,0,0,68200000000
0,47521,0,0,68200000000
0,46662,0,0,68200000000
0,48457,0,0,68200000000
0,47612,0,0,68200000000
0,48961,0,0,68200000000
0,47097,0,0,68200000000
0,43755,0,0,68200000000
0,46653,0,0,68200000000
0,48893,0,0,68200000000
0,46535,0,0,68200000000
0,48238,0,0,68200000000
0,44658,0,0,68200000000
0,47873,0,0,68200000000
0,46193,0,0,68200000000
0,48171,0,0,68200000000
0,46437,0,0,68200000000
0,48502,0,0,68200000000
0,48025,0,0,68200000000
0,47949,0,0,65572000000
0,46375,0,0,68200000000
0,47880,0,0,68200000000
0,35429,0,0,4000000
0,35264,0,0,68200000000
0,48149,0,0,68200000000
0,47019,0,0,68200000000
0,47762,0,0,68200000000
0,45572,0,0,68200000000
0,47842,0,0,68200000000
0,46562,0,0,68200000000
0,47270,0,0,68200000000
0,47533,0,0,68200000000
0,43193,0,0,68200000000
0,47359,0,0,68200000000
0,45783,0,0,68200000000
0,48050,0,0,68200000000
0,46325,0,0,68200000000
0,48312,0,0,68200000000
0,46033,0,0,68200000000
0,47801,0,0,68200000000
0,46388,0,0,68200000000
0,48291,0,0,68200000000
0,45476,0,0,68200000000
0,47613,0,0,68200000000
0,46395,0,0,68200000000
0,47313,0,0,68200000000
0,48037,0,0,68200000000
0,46841,0,0,68200000000
0,47831,0,0,68200000000
0,46022,0,0,68200000000
0,47350,0,0,68200000000
0,45857,0,0,4196000000
0,45418,0,0,68200000000
0,45770,0,0,68200000000
0,47628,0,0,68200000000
0,46259,0,0,68200000000
0,47623,0,0,68200000000
0,46650,0,0,68200000000
0,47768,0,0,68200000000
0,46476,0,0,68200000000
0,47822,0,0,68200000000
0,46735,0,0,68200000000
0,44970,0,0,68200000000
0,47799,0,0,68200000000
0,45794,0,0,68200000000
0,47684,0,0,68200000000
0,46072,0,0,68200000000
0,47230,0,0,68200000000
0,45610,0,0,68200000000
0,47756,0,0,68200000000
0,41811,0,0,68200000000
0,48544,0,0,68200000000
0,38108,0,0,0
0,43507,0,0,68200000000
0,46946,0,0,68200000000
0,45875,0,0,68200000000
0,47790,0,0,68200000000
0,46009,0,0,68200000000
1,45493,0,1,68200000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
48,88,0,0,4000000
79,161,0,0,576000000
22,51,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
